Time [s],Read Data
0.711910562,0
0.711912125,1
0.711912688,0
0.711916125,1
0.711916625,0
0.711918188,1
0.711918687,0
0.711920187,1
0.711920688,0
0.711922250,1
0.711922750,0
0.711926250,1
0.711926750,0
0.711928375,1
0.711928875,0
0.711932312,1
0.711932812,0
0.711934375,1
0.711934938,0
0.711936375,1
0.711936937,0
0.711938437,1
0.711939000,0
0.711942437,1
0.711943000,0
0.711944563,1
0.711945125,0
0.711948500,1
0.711949063,0
0.711950562,1
0.711951125,0
0.711952563,1
0.711953125,0
0.711954688,1
0.711955187,0
0.711958688,1
0.711959187,0
0.711960812,1
0.711961313,0
0.711964750,1
0.711965250,0
0.711966813,1
0.711967375,0
0.711968812,1
0.711969312,0
0.711970875,1
0.711971438,0
0.711974875,1
0.711975438,0
0.711977000,1
0.711977562,0
0.711980938,1
0.711981500,0
0.711983062,1
0.711983562,0
0.711985000,1
0.711985563,0
0.711987125,1
0.711987625,0
0.711991125,1
0.711991625,0
0.711993250,1
0.711993750,0
0.711997187,1
0.711997750,0
0.711999250,1
0.711999812,0
0.712001250,1
0.712001813,0
0.712003375,1
0.712003875,0
0.712007313,1
0.712007875,0
0.712009438,1
0.712010000,0
0.712013375,1
0.712013937,0
0.712015500,1
0.712016000,0
0.712017500,1
0.712018000,0
0.712019562,1
0.712020125,0
0.712023562,1
0.712024125,0
0.712025687,1
0.712026188,0
0.712029625,1
0.712030188,0
0.712031688,1
0.712032250,0
0.712033687,1
0.712034250,0
0.712035813,1
0.712036312,0
0.712039813,1
0.712040312,0
0.712041875,1
0.712042437,0
0.712045875,1
0.712046437,0
0.712047937,1
0.712048500,0
0.712049938,1
0.712050500,0
0.712052000,1
0.712052563,0
0.712056000,1
0.712056500,0
0.712058125,1
0.712058625,0
0.712062063,1
0.712062625,0
0.712064188,1
0.712064687,0
0.712066187,1
0.712066688,0
0.712068250,1
0.712068750,0
0.712072188,1
0.712072750,0
0.712074375,1
0.712074875,0
0.712078312,1
0.712078813,0
0.712080375,1
0.712080875,0
0.712082375,1
0.712082937,0
0.712084437,1
0.712085000,0
0.712088437,1
0.712089000,0
0.712090563,1
0.712091125,0
0.712094500,1
0.712095062,0
0.712096562,1
0.712097125,0
0.712098625,1
0.712099125,0
0.712100687,1
0.712101187,0
0.712104687,1
0.712105187,0
0.712106812,1
0.712107313,0
0.712110750,1
0.712111250,0
0.712112813,1
0.712113375,0
0.712114812,1
0.712115313,0
0.712116875,1
0.712117438,0
0.712120875,1
0.712121438,0
0.712123000,1
0.712123562,0
0.712126938,1
0.712127500,0
0.712129062,1
0.712129563,0
0.712131063,1
0.712131562,0
0.712133125,1
0.712133625,0
0.712137125,1
0.712137625,0
0.712139250,1
0.712139750,0
0.712143188,1
0.712143750,0
0.712145250,1
0.712145812,0
0.712147250,1
0.712147813,0
0.712149375,1
0.712149875,0
0.712153375,1
0.712153875,0
0.712155437,1
0.712156000,0
0.712159437,1
0.712159937,0
0.712161500,1
0.712162000,0
0.712163500,1
0.712164062,0
0.712165562,1
0.712166125,0
0.712169562,1
0.712170125,0
0.712171688,1
0.712172250,0
0.712175688,1
0.712176188,0
0.712177750,1
0.712178250,0
0.712179750,1
0.712180313,0
0.712181813,1
0.712182375,0
0.712185813,1
0.712186312,0
0.712187937,1
0.712188500,0
0.712191875,1
0.712192438,0
0.712193938,1
0.712194500,0
0.712196000,1
0.712196500,0
0.712198062,1
0.712198563,0
0.712202063,1
0.712202563,0
0.712204188,1
0.712204687,0
0.712208125,1
0.712208687,0
0.712210187,1
0.712210750,0
0.712212188,1
0.712212750,0
0.712214313,1
0.712214812,0
0.712218313,1
0.712218812,0
0.712220375,1
0.712220938,0
0.712224375,1
0.712224938,0
0.712226437,1
0.712227000,0
0.712228437,1
0.712229000,0
0.712230563,1
0.712231063,0
0.712234500,1
0.712235063,0
0.712236625,1
0.712237187,0
0.712240625,1
0.712241125,0
0.712242687,1
0.712243188,0
0.712244688,1
0.712245250,0
0.712246750,1
0.712247312,0
0.712250750,1
0.712251312,0
0.712252875,1
0.712253438,0
0.712256812,1
0.712257375,0
0.712258938,1
0.712259437,0
0.712260937,1
0.712261500,0
0.712263000,1
0.712263563,0
0.712267000,1
0.712267563,0
0.712269125,1
0.712269687,0
0.712273062,1
0.712273625,0
0.712275187,1
0.712275688,0
0.712277188,1
0.712277750,0
0.712279250,1
0.712279813,0
0.712283250,1
0.712283812,0
0.712285375,1
0.712285938,0
0.712289313,1
0.712289875,0
0.712291375,1
0.712291937,0
0.712293437,1
0.712294000,0
0.712295500,1
0.712296062,0
0.712299500,1
0.712300062,0
0.712301625,1
0.712302187,0
0.712305562,1
0.712306125,0
0.712307625,1
0.712308188,0
0.712309688,1
0.712310187,0
0.712311750,1
0.712312313,0
0.712315750,1
0.712316250,0
0.712317875,1
0.712318375,0
0.712321813,1
0.712322375,0
0.712323938,1
0.712324437,0
0.712325937,1
0.712326438,0
0.712328000,1
0.712328562,0
0.712332000,1
0.712332562,0
0.712334125,1
0.712334625,0
0.712338062,1
0.712338625,0
0.712340188,1
0.712340688,0
0.712342188,1
0.712342750,0
0.712344250,1
0.712344813,0
0.712348250,1
0.712348813,0
0.712350375,1
0.712350875,0
0.712354375,1
0.712354875,0
0.712356437,1
0.712356937,0
0.712358438,1
0.712359000,0
0.712360500,1
0.712361062,0
0.712364500,1
0.712365062,0
0.712366625,1
0.712367125,0
0.712370625,1
0.712371125,0
0.712372688,1
0.712373188,0
0.712374687,1
0.712375250,0
0.712376750,1
0.712377313,0
0.712380750,1
0.712381313,0
0.712382875,1
0.712383375,0
0.712386875,1
0.712387375,0
0.712388937,1
0.712389437,0
0.712390938,1
0.712391500,0
0.712393000,1
0.712393562,0
0.712397000,1
0.712397562,0
0.712399125,1
0.712399625,0
0.712403125,1
0.712403625,0
0.712405188,1
0.712405750,0
0.712407187,1
0.712407750,0
0.712409250,1
0.712409813,0
0.712413250,1
0.712413813,0
0.712415375,1
0.712415875,0
0.712419375,1
0.712419937,0
0.712421437,1
0.712422000,0
0.712423438,1
0.712424000,0
0.712425500,1
0.712426062,0
0.712429500,1
0.712430062,0
0.712431625,1
0.712432188,0
0.712435625,1
0.712436188,0
0.712437688,1
0.712438250,0
0.712439687,1
0.712440250,0
0.712441813,1
0.712442313,0
0.712445813,1
0.712446313,0
0.712447875,1
0.712448437,0
0.712451875,1
0.712452375,0
0.712453937,1
0.712454500,0
0.712456000,1
0.712456500,0
0.712458062,1
0.712458562,0
0.712462062,1
0.712462562,0
0.712464187,1
0.712464688,0
0.712468125,1
0.712468625,0
0.712470188,1
0.712470750,0
0.712472250,1
0.712472750,0
0.712474313,1
0.712474875,0
0.712478313,1
0.712478813,0
0.712480375,1
0.712480937,0
0.712484375,1
0.712484937,0
0.712486500,1
0.712487000,0
0.712488500,1
0.712489062,0
0.712490562,1
0.712491125,0
0.712494562,1
0.712495125,0
0.712496687,1
0.712497188,0
0.712500687,1
0.712501188,0
0.712502750,1
0.712503312,0
0.712504812,1
0.712505313,0
0.712506875,1
0.712507375,0
0.712510875,1
0.712511375,0
0.712512937,1
0.712513500,0
0.712516938,1
0.712517437,0
0.712519000,1
0.712519563,0
0.712521063,1
0.712521562,0
0.712523125,1
0.712523687,0
0.712527125,1
0.712527687,0
0.712529250,1
0.712529813,0
0.712533188,1
0.712533750,0
0.712535313,1
0.712535875,0
0.712537375,1
0.712537875,0
0.712539438,1
0.712539937,0
0.712543375,1
0.712543938,0
0.712545500,1
0.712546062,0
0.712549500,1
0.712550062,0
0.712551625,1
0.712552125,0
0.712553625,1
0.712554187,0
0.712555687,1
0.712556250,0
0.712559687,1
0.712560188,0
0.712561812,1
0.712562313,0
0.712565750,1
0.712566313,0
0.712567875,1
0.712568437,0
0.712569937,1
0.712570438,0
0.712572000,1
0.712572500,0
0.712576000,1
0.712576500,0
0.712578062,1
0.712578625,0
0.712582063,1
0.712582562,0
0.712584125,1
0.712584688,0
0.712586188,1
0.712586750,0
0.712588250,1
0.712588812,0
0.712592250,1
0.712592812,0
0.712594375,1
0.712594938,0
0.712598313,1
0.712598875,0
0.712600438,1
0.712600937,0
0.712602500,1
0.712603000,0
0.712604563,1
0.712605062,0
